createAt,id,accel_y,accel_z,temperature,accel_x
2022-07-14 09:26:15,message_c4233a6b-aab9-423c-b5e2-376db44ce17d,11.6674,1.301695,27.25941,0.801596
2022-07-14 09:26:21,message_7ab55321-4073-4141-a421-d7f1c0e84b8f,13.35195,-2.787638,27.11823,-1.095913
2022-07-14 09:26:27,message_7820dc71-feed-48a7-b09d-1dc350b0c7a7,10.36092,1.904687,27.07117,5.10389
2022-07-14 09:26:30,message_2b01b639-844a-4934-9395-c88082411739,13.74677,1.830509,27.07117,5.592026
2022-07-14 09:26:36,message_7d927f9c-e6a0-4e21-b1c7-15a8b76f8fb0,11.11227,3.285345,27.11823,2.813959
2022-07-14 09:26:42,message_949bff61-7e54-4d0d-8104-6e666092a254,10.72702,1.033699,27.16529,5.261817
2022-07-14 09:26:45,message_f452e8c3-fd5f-465c-a857-2a622b36446f,12.56471,-1.177269,27.07117,-2.172683
2022-07-14 09:26:51,message_d784b17c-7236-43da-b8cb-f2c5ab0eac33,10.5021,1.349552,27.11823,5.979664
2022-07-14 09:26:57,message_be5ed5a5-8b0c-48ef-abc1-36f04ee1f16d,11.81576,0.655633,27.07117,0.145962
2022-07-14 09:27:00,message_e5e18b27-d3f9-44e9-9d33-acaf4ff47f4c,11.02373,-3.493521,27.07117,4.740181
2022-07-14 09:27:06,message_f3ef26e5-e817-4c8b-8e41-b856a754f613,11.19123,-2.352145,27.07117,5.187639
2022-07-14 09:27:12,message_19ac1d69-6acf-4bcb-89e9-05c573d98889,11.54298,1.416551,27.07117,2.538785
2022-07-14 09:27:15,message_f72f677c-1eff-494e-91f7-78386640fde8,11.67697,-3.007778,27.07117,1.591227
2022-07-14 09:27:21,message_c6a02f27-8e41-485a-97dc-0e160176fcef,11.04288,-3.345166,26.97706,4.275974
2022-07-14 09:27:27,message_c30d01dd-d8d2-4def-95e8-d9a219bdfc77,10.97827,0.650848,27.02412,1.643869
2022-07-14 09:27:30,message_3ea433f9-142a-4203-b883-5440336f3769,10.82034,-5.848059,27.07117,3.802195
2022-07-14 09:27:36,message_3899471c-20ec-4256-80ea-7924cc01203c,12.18186,1.440479,26.97706,0.090927
2022-07-14 09:27:42,message_c4464bcc-75cd-472a-b56d-36417e140d8d,12.23689,2.349752,27.07117,-2.333002
2022-07-14 09:27:45,message_652cad87-c45c-4823-a6ad-6a070facb276,10.84906,-2.533999,27.02412,7.04447
2022-07-14 09:27:51,message_b5b8cc24-b30a-457f-92fc-66cc4f5f7930,10.60978,-4.984249,26.88294,3.716054
2022-07-14 09:27:57,message_0f51b9d9-45c7-434a-adc4-9865ff092bfe,11.44248,-4.067798,27.02412,6.254838
2022-07-14 09:28:00,message_f83e5949-7834-4f2e-9843-2db871a59b2d,10.95913,-4.520042,26.97706,3.854837
2022-07-14 09:28:06,message_dfc46010-9a45-4abf-8f84-4e7de64fb0ab,10.92563,-2.493321,26.97706,6.850651
2022-07-14 09:28:12,message_e4fb1f26-7e67-4ca4-a051-59b6d384d5fc,11.35394,1.962114,26.97706,2.754139
2022-07-14 09:28:15,message_fbafbfdf-53f2-4e32-a574-d58f388c385b,12.49771,-2.816352,26.93,1.820938
2022-07-14 09:28:21,message_8d7a7c7b-0eb5-4880-89d9-b2f7aeacccc3,11.0692,1.177269,26.97706,6.132804
2022-07-14 09:28:27,message_5e9bedc6-2250-4aac-b2e8-b453ccf95e44,12.26561,0.308674,26.93,0.820738
2022-07-14 09:28:30,message_0019b3e7-1c61-4f4e-92e9-591cbe285b3c,11.78226,-0.827917,26.93,0.751346
2022-07-14 09:28:36,message_47cfba85-7ae2-4056-a4ea-596ccffaa19e,12.29911,0.12682,26.93,-0.337388
2022-07-14 09:28:42,message_9022798c-8b53-46a5-a67d-dbff7bc14641,12.59582,1.167697,26.97706,2.490928
2022-07-14 09:28:45,message_e999ad0b-4fda-44fc-b999-4c67132254ba,11.55255,1.861616,26.93,2.220539
2022-07-14 09:28:51,message_c02ec010-230c-49b9-bd96-38fe27abf56a,12.0694,1.229911,26.97706,1.904687
2022-07-14 09:28:57,message_a5fd35e9-ac3f-4684-a2c4-7a4b8e9f0e7c,11.97847,1.837688,26.97706,4.505685
2022-07-14 09:29:00,message_f11913eb-6548-48d1-8b38-418cd8606453,10.28675,-1.507478,26.83588,8.173882
2022-07-14 09:29:06,message_a015f92f-7365-4d62-bcbd-3339a40d23cf,10.9687,-3.74716,26.93,6.068198
2022-07-14 09:29:12,message_c941af8e-54f9-4eb2-b0b9-6096ba300d7a,10.69592,-2.691925,27.02412,7.429714
2022-07-14 09:29:15,message_7ca48fe8-e050-49e9-a7e5-21704503cc03,10.15753,-5.218746,26.93,1.122234
2022-07-14 09:29:21,message_6f153f07-0ab6-482b-8a33-e72558b85633,11.81337,-5.240282,26.97706,0.327817
2022-07-14 09:29:27,message_e0c96a31-2133-42ea-ae57-816efe630cdb,11.6028,3.038885,26.88294,-0.488136
2022-07-14 09:29:30,message_d4065056-6498-4d58-bad3-d3544dcbd86a,12.26561,1.981257,26.97706,0.196211
2022-07-14 09:29:36,message_82310b9c-6d82-4ffe-9071-76f88bdab68f,11.81337,-3.76391,26.88294,-0.504886
2022-07-14 09:29:42,message_9f21ea11-4627-46a3-b99e-82af0ea5747e,12.25604,-1.852045,26.88294,-2.323431
2022-07-14 09:29:45,message_3bae8bd2-459a-4fa8-931c-93bf9578dfa4,11.91147,-4.534399,26.97706,-0.794417
2022-07-14 09:29:51,message_b624572d-062b-4232-aae0-ea3014548051,12.6341,-3.022135,26.97706,-0.964308
